timestamp,src_ip_private,src_ip_public,src_ip_default,dst_ip_private,dst_ip_public,dst_ip_default,sport_zero,sport_multiplex,sport_echo,sport_discard,sport_daytime,sport_quote,sport_chwhereen,sport_ftp_data,sport_ftp_control,sport_ssh,sport_telnet,sport_smtp,sport_dns,sport_bootp,sport_gopher,sport_finger,sport_http,sport_kerberos,sport_pop3,sport_nntp,sport_ntp,sport_netbios,sport_imap4,sport_snmp,sport_ldap,sport_https,sport_mds,sport_kpasswd,sport_smtp_ssl,sport_syslog,sport_smtp,sport_ldaps,sport_cups,sport_imap4,sport_socks,sport_openvpn,sport_mssql,sport_citrix,sport_oracle,sport_rapservice,sport_msnmessenger,sport_mgc,sport_mysql,sport_metasploit,sport_emule,sport_xmpp,sport_bittorrent,sport_http2,sport_reserved,sport_register,sport_private,dport_zero,dport_multiplex,dport_echo,dport_discard,dport_daytime,dport_quote,dport_chwhereen,dport_ftp_data,dport_ftp_control,dport_ssh,dport_telnet,dport_smtp,dport_dns,dport_bootp,dport_gopher,dport_finger,dport_http,dport_kerberos,dport_pop3,dport_nntp,dport_ntp,dport_netbios,dport_imap4,dport_snmp,dport_ldap,dport_https,dport_mds,dport_kpasswd,dport_smtp_ssl,dport_syslog,dport_smtp,dport_ldaps,dport_cups,dport_imap4,dport_socks,dport_openvpn,dport_mssql,dport_citrix,dport_oracle,dport_rapservice,dport_msnmessenger,dport_mgc,dport_mysql,dport_metasploit,dport_emule,dport_xmpp,dport_bittorrent,dport_http2,dport_reserved,dport_register,dport_private,protocol_6,protocol_17,protocol_other,npackets_verylow,npackets_low,npackets_medium,npackets_high,npackets_veryhigh,npackets_b_verylow,npackets_b_low,npackets_b_medium,npackets_b_high,npackets_b_veryhigh,nbytes_verylow,nbytes_low,nbytes_medium,nbytes_high,nbytes_veryhigh,nbytes_b_verylow,nbytes_b_low,nbytes_b_medium,nbytes_b_high,nbytes_b_veryhigh,label_background,label_DoS_Hulk,label_DDoS,label_PortScan,label_other
03/07/2017 01:13:211349000,670,330,0,532,468,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,0,0,0,10,10,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,92,554,1,0,0,0,0,0,0,0,4,4,0,0,158,0,0,0,65,0,0,0,10,12,0,0,3,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,651,29,320,821,178,1,714,259,26,1,0,735,244,20,1,0,730,153,115,2,0,657,184,134,22,3,1000,0,0,0,0
03/07/2017 01:14:511350000,718,282,0,601,399,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,44,0,0,0,2,1,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,63,650,0,0,0,0,0,0,0,0,3,0,0,0,306,0,0,0,57,0,0,0,2,2,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,44,247,691,309,0,713,248,36,3,0,730,233,32,5,0,722,155,120,3,0,577,209,163,42,9,1000,0,0,0,0
03/07/2017 01:15:431351000,679,321,0,627,373,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,4,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,18,657,1,0,0,0,0,0,0,0,1,0,0,0,299,0,0,0,148,0,0,0,4,1,0,0,2,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,677,8,315,695,304,1,703,278,18,1,0,797,182,20,1,0,708,199,92,1,0,531,328,104,33,4,1000,0,0,0,0
03/07/2017 01:16:321352000,795,205,0,672,328,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,22,0,0,0,10,7,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,212,559,0,0,0,0,0,0,0,0,10,4,0,0,415,0,0,0,111,0,0,0,10,6,0,0,1,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,763,18,219,569,431,0,732,209,53,6,0,754,189,48,9,0,739,145,110,6,0,506,321,103,57,13,1000,0,0,0,0
03/07/2017 01:17:221353000,822,178,0,629,370,1,3,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,57,0,0,0,23,15,0,0,0,119,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,230,302,468,3,0,0,0,0,0,0,0,2,20,0,0,355,0,0,0,72,18,0,0,23,18,0,0,9,271,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,795,71,134,593,404,3,821,131,40,8,0,862,97,34,7,0,846,74,78,2,0,685,205,86,15,9,1000,0,0,0,0
03/07/2017 01:20:441354000,883,117,0,708,292,0,1,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,10,0,0,0,6,8,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,78,781,1,0,0,0,0,0,0,0,9,8,0,0,529,0,0,0,59,0,0,0,6,9,0,0,4,225,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,853,33,114,455,544,1,754,190,52,4,0,779,175,39,7,0,756,144,93,7,0,515,299,154,23,9,1000,0,0,0,0
03/07/2017 01:22:341355000,850,150,0,619,381,0,1,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,40,0,0,0,4,11,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,167,662,1,0,0,0,0,0,0,0,6,4,0,0,426,0,0,0,145,0,0,0,4,12,0,0,0,228,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,37,132,557,442,1,730,208,57,5,0,781,155,55,9,0,761,142,91,6,0,594,235,110,50,11,1000,0,0,0,0
03/07/2017 01:24:381356000,956,44,0,666,334,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,480,475,0,0,0,0,0,0,0,0,2,0,0,0,609,0,0,0,86,0,0,0,0,1,0,0,3,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,949,39,12,391,609,0,750,152,95,3,0,752,178,66,4,0,738,99,152,11,0,365,443,135,47,10,1000,0,0,0,0
03/07/2017 01:25:081357000,882,118,0,621,379,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,14,2,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,235,628,0,0,0,0,0,0,0,0,4,0,0,0,475,0,0,0,81,0,0,0,14,5,0,0,3,280,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,866,66,68,507,493,0,697,237,59,7,0,736,207,50,7,0,710,165,121,4,0,524,265,173,29,9,1000,0,0,0,0
03/07/2017 01:26:361358000,788,212,0,703,297,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,7,2,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,96,683,1,0,0,0,0,0,0,0,0,0,0,0,489,0,0,0,61,0,0,0,7,2,0,0,0,228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,78,133,501,498,1,746,191,54,9,0,777,164,48,9,2,766,136,87,11,0,559,263,121,42,15,1000,0,0,0,0
03/07/2017 01:27:171359000,814,186,0,686,314,0,1,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,43,0,0,0,5,10,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,301,488,1,0,0,0,0,0,0,0,10,8,0,0,434,0,0,0,84,0,0,0,5,11,0,0,3,224,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,782,70,148,550,449,1,734,218,44,4,0,817,143,34,6,0,766,151,74,9,0,557,305,113,19,6,1000,0,0,0,0
03/07/2017 01:29:221360000,871,129,0,688,311,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,19,0,0,0,8,4,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,281,575,1,0,0,0,0,0,0,0,3,4,0,0,532,0,0,0,58,0,0,0,8,6,0,0,2,244,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,860,35,105,454,545,1,725,189,74,12,0,777,161,49,12,1,761,123,99,17,0,453,363,136,32,16,1000,0,0,0,0
03/07/2017 01:30:441361000,849,151,0,674,326,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,28,0,0,0,9,5,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,260,570,0,0,0,0,0,0,0,0,2,8,0,0,492,0,0,0,107,0,0,0,9,7,0,0,1,209,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,838,81,81,493,507,0,774,172,46,8,0,815,141,33,11,0,792,124,80,4,0,561,283,117,29,10,1000,0,0,0,0
03/07/2017 01:32:291362000,852,148,0,619,381,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,31,0,0,0,2,2,0,0,0,116,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,414,426,1,0,0,0,0,0,0,0,0,12,0,0,446,0,0,0,109,0,0,0,2,2,0,0,1,266,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,844,76,80,549,450,1,735,174,81,10,0,745,184,61,10,0,733,154,103,10,0,449,326,171,42,12,1000,0,0,0,0
03/07/2017 01:33:101363000,821,179,0,632,367,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,11,9,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,238,561,0,0,0,0,0,0,0,0,0,4,0,0,435,0,0,0,84,0,0,0,11,9,0,0,1,271,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,817,64,119,544,456,0,728,206,63,3,0,755,183,58,4,0,752,133,102,13,0,513,291,148,41,7,1000,0,0,0,0
03/07/2017 01:34:441364000,899,101,0,680,320,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,0,5,2,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,110,280,610,2,0,0,0,0,0,0,0,2,0,0,0,546,0,0,0,57,10,0,0,5,3,0,0,7,256,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,890,42,68,439,559,2,766,162,64,8,0,768,169,54,9,0,753,113,128,5,1,438,361,137,49,15,1000,0,0,0,0
03/07/2017 01:35:141365000,894,106,0,679,321,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,483,402,0,0,0,0,0,0,0,0,4,0,0,0,558,0,0,0,35,0,0,0,7,1,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,66,50,435,565,0,755,176,65,3,1,777,167,48,7,1,751,135,109,5,0,362,448,156,26,8,1000,0,0,0,0
03/07/2017 01:35:351366000,799,201,0,601,398,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,8,1,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,372,417,1,0,0,0,0,0,0,0,2,0,0,0,389,0,0,0,78,0,0,0,8,2,0,0,1,312,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,111,95,599,400,1,744,204,48,4,0,759,205,31,5,0,745,142,101,12,0,485,304,186,19,6,1000,0,0,0,0
03/07/2017 01:37:051367000,792,208,0,626,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,5,2,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,377,408,0,0,0,0,0,0,0,0,0,0,0,0,415,0,0,0,153,0,0,0,5,2,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792,115,93,578,422,0,779,184,37,0,0,812,156,27,5,0,796,125,77,2,0,547,289,106,47,11,1000,0,0,0,0
03/07/2017 01:38:041368000,874,126,0,696,304,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,24,0,0,0,3,5,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,165,691,1,0,0,0,0,0,0,0,0,20,0,0,532,0,0,0,75,0,0,0,3,5,0,0,1,224,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,864,57,79,459,540,1,771,160,62,7,0,789,145,58,8,0,768,134,97,1,0,509,314,128,38,11,1000,0,0,0,0
03/07/2017 01:38:561369000,872,128,0,760,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,267,604,0,0,0,0,0,0,0,0,0,0,0,0,632,0,0,0,58,0,0,0,1,0,0,0,0,175,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,33,95,367,633,0,829,114,51,6,0,828,125,39,8,0,824,97,68,11,0,324,529,117,20,10,1000,0,0,0,0
03/07/2017 01:39:331370000,946,54,0,729,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,486,457,0,0,0,0,0,0,0,0,0,0,0,0,672,0,0,0,123,0,0,0,0,3,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,33,21,325,675,0,797,163,39,1,0,799,167,29,5,0,786,135,78,1,0,258,586,125,25,6,1000,0,0,0,0
03/07/2017 01:39:431371000,789,211,0,711,289,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42,0,0,0,3,2,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,352,431,1,0,0,0,0,0,0,0,2,0,0,0,488,0,0,0,82,0,0,0,3,4,0,0,1,202,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785,117,98,505,494,1,805,156,36,3,0,838,128,31,3,0,824,115,56,5,0,508,368,101,18,5,1000,0,0,0,0
03/07/2017 01:40:551372000,856,144,0,669,330,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,1,2,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,33,819,0,0,0,0,0,0,0,0,0,0,0,0,521,0,0,0,140,0,0,0,1,3,0,0,1,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856,29,115,474,526,0,701,255,43,1,0,777,178,44,1,0,721,219,59,1,0,517,331,108,38,6,1000,0,0,0,0
03/07/2017 01:41:381373000,806,194,0,685,315,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,36,0,0,0,4,2,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,155,643,1,0,0,0,0,0,0,0,4,0,0,0,473,0,0,0,84,0,0,0,4,2,0,0,1,226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,796,76,128,520,479,1,781,177,41,1,0,833,127,37,3,0,824,88,80,8,0,567,317,80,35,1,1000,0,0,0,0
03/07/2017 01:43:061374000,932,68,0,724,276,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,252,676,0,0,0,0,0,0,0,0,0,4,0,0,650,0,0,0,70,0,0,0,2,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,6,64,348,652,0,802,155,42,1,0,787,181,30,2,0,784,111,98,7,0,342,478,164,14,2,1000,0,0,0,0
03/07/2017 01:43:261375000,805,195,0,678,322,0,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,25,0,0,0,17,8,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,335,439,1,0,0,0,0,0,0,0,4,8,0,0,445,0,0,0,57,0,0,0,17,10,0,0,1,243,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,792,74,134,529,470,1,794,176,29,1,0,848,128,22,2,0,826,88,80,6,0,516,365,110,9,0,1000,0,0,0,0
03/07/2017 01:45:291376000,895,105,0,673,327,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,389,500,0,0,0,0,0,0,0,0,2,8,0,0,546,0,0,0,83,0,0,0,1,1,0,0,2,239,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,886,55,59,451,549,0,755,211,33,1,0,783,187,27,3,0,759,159,81,1,0,421,405,144,26,4,1000,0,0,0,0
03/07/2017 01:46:081377000,876,124,0,671,329,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,495,378,0,0,0,0,0,0,0,0,0,7,0,0,535,0,0,0,176,0,0,0,0,0,0,0,1,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,872,75,53,465,535,0,766,154,78,2,0,794,145,51,10,0,768,107,116,9,0,375,479,90,42,14,1000,0,0,0,0
03/07/2017 01:46:341378000,883,117,0,718,282,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,6,3,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,491,380,1,0,0,0,0,0,0,0,0,5,0,0,589,0,0,0,61,0,0,0,6,3,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,66,53,401,598,1,819,149,30,2,0,829,146,24,1,0,816,121,61,2,0,336,543,110,10,1,1000,0,0,0,0
03/07/2017 01:47:491379000,860,140,0,712,288,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,44,0,0,0,4,6,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,353,495,0,0,0,0,0,0,0,0,2,4,0,0,549,0,0,0,111,0,0,0,4,6,0,0,1,172,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,854,75,71,441,559,0,768,149,66,15,2,787,138,52,21,2,761,118,109,12,0,407,425,106,30,32,1000,0,0,0,0
